gene_name	gene_discription	foldchange_T24/T0	foldchange_T48/T0
TcIL3000.A.H_000908600.1	transcription elongation factor s-II, putative	1	2.375
TcIL3000.A.H_000504400.1	hypothetical protein, conserved	1	2.33333
TcIL3000.A.H_000717000.1	arginine N-methyltransferase, type II	1	2.33333
TcIL3000.A.H_000476700.1	paraflagellar rod component, putative	1	2.27273
TcIL3000.A.H_000120100.1	hypothetical protein, conserved	1	2.25
TcIL3000.A.H_000658400.1	hypothetical protein, conserved	1	2.25
TcIL3000.A.H_000825900.1	hypothetical protein, conserved	1	2.2
TcIL3000.A.H_000909100.1	TFIIF-stimulated CTD phosphatase, putative	1	2.16667
TcIL3000.A.H_000928600.1	NADH-cytochrome b5 reductase-like protein	1	2.16667
TcIL3000.A.H_000985700.1	hypothetical protein, conserved	1	2.16667
TcIL3000.A.H_000597500.1	folate transporter, putative	1	2.14286
TcIL3000.A.H_000604100.1	hypothetical protein, conserved	1	2.11111
TcIL3000.A.H_000477600.1	hypothetical protein, conserved	1	2.1
TcIL3000.A.H_000008200.1	hypothetical protein, conserved	1	2
TcIL3000.A.H_000011100.1	hypothetical protein, conserved	1	2
TcIL3000.A.H_000037700.1	variant surface glycoprotein (VSG, atypical), putative	1	2
TcIL3000.A.H_000038900.1	Retrotransposon hot spot protein, putative	1	2
TcIL3000.A.H_000053800.1	Trypanosomal VSG domain containing protein, putative	1	2
TcIL3000.A.H_000055100.1	hypothetical protein, conserved	1	2
TcIL3000.A.H_000091100.1	hypothetical protein, conserved	1	2
TcIL3000.A.H_000184200.1	Retrotransposon hot spot protein, putative	1	2
TcIL3000.A.H_000184300.1	retrotransposon hot spot (RHS) protein, putative	1	2
TcIL3000.A.H_000238400.1	retrotransposon hot spot (RHS) protein, putative	1	2
TcIL3000.A.H_000258900.1	hypothetical protein, conserved	1	2
TcIL3000.A.H_000320000.1	hypothetical protein, conserved	1	2
TcIL3000.A.H_000393300.1	hypothetical protein, conserved	1	2
TcIL3000.A.H_000453300.1	hypothetical protein	1	2
TcIL3000.A.H_000494200.1	RNA pseudouridylate synthase, putative	1	2
TcIL3000.A.H_000585000.1	SET domain containing protein, putative	1	2
TcIL3000.A.H_000591900.1	hypothetical protein	1	2
TcIL3000.A.H_000602600.1	hypothetical protein, conserved	1	2
TcIL3000.A.H_000657600.1	RBP32	1	2
TcIL3000.A.H_000743200.1	hypothetical protein, conserved	1	2
TcIL3000.A.H_000804200.1	hypothetical protein	1	2
TcIL3000.A.H_000823900.1	thioredoxin, putative	1	2
TcIL3000.A.H_000835300.1	Retrotransposon hot spot protein, putative	1	2
TcIL3000.A.H_000853500.1	hypothetical protein	1	2
TcIL3000.A.H_000860400.1	Adenylate and Guanylate cyclase catalytic domain containing protein, putative	1	2
TcIL3000.A.H_000864000.1	Pre-mRNA-splicing factor of RES complex, putative	1	2
TcIL3000.A.H_000872900.1	hypothetical protein	1	2
TcIL3000.A.H_000966100:snoRNA	unspecified product	1	2
TcIL3000.A.H_000978900.1	hypothetical protein	1	2
TcIL3000.A.H_000982100.1	hypothetical protein, conserved	1	2
TcIL3000.A.H_001029800.1	TPR repeat, putative	1	2
TcIL3000.A.H_000612600.1	hypothetical protein, conserved	1	1.91667
TcIL3000.A.H_000509700.1	hypothetical protein, conserved	1	1.90909
TcIL3000.A.H_000683000.1	Uncharacterised conserved protein, putative	1	1.88889
TcIL3000.A.H_000822700.1	pumilio/PUF RNA binding protein 6	1	1.88889
TcIL3000.A.H_000357100.1	cytochrome c oxidase assembly protein PET191, putative	1	1.85714
TcIL3000.A.H_000770000.1	MORN repeat containing protein	1	1.85714
TcIL3000.A.H_000900600.1	btb/poz domain containing protein, putative	1	1.85714
TcIL3000.A.H_000132200.1	Adenylate and Guanylate cyclase catalytic domain containing protein, putative	1	1.83333
TcIL3000.A.H_000373800.1	hypothetical protein, conserved	1	1.83333
TcIL3000.A.H_000923500.1	hypothetical protein, conserved	1	1.80769
TcIL3000.A.H_000337100.1	Leucine Rich repeat/Leucine Rich Repeat, putative	1	1.8
TcIL3000.A.H_000427400.1	Meckelin (Transmembrane protein 67), putative	1	1.8
TcIL3000.A.H_000528000.1	mRNA capping enzyme, beta chain, putative	1	1.78571
TcIL3000.A.H_000468100.1	RNA pseudouridylate synthase, putative	1	1.77778
TcIL3000.A.H_000736600.1	hypothetical protein, conserved	1	1.77273
TcIL3000.A.H_000459400.1	hypothetical protein, conserved	1	1.76923
TcIL3000.A.H_000313600.1	NAD binding domain of 6-phosphogluconate dehydrogenase/NAD-binding of NADP-dependent 3-hydroxyisobutyrate dehydrogenase, putative	1	1.7619
TcIL3000.A.H_000073000.1	Adenylate and Guanylate cyclase catalytic domain containing protein, putative	1	1.75
TcIL3000.A.H_000242300.1	sjogren s syndrome nuclear autoantigen 1, putative	1	1.75
TcIL3000.A.H_000485900.1	hypothetical protein	1	1.75
TcIL3000.A.H_000641800.1	hypothetical protein, conserved	1	1.75
TcIL3000.A.H_000677100.1	hypothetical protein, conserved	1	1.75
TcIL3000.A.H_000290600.1	ribosomal RNA processing protein 41B	1	1.72727
TcIL3000.A.H_000649800.1	engulfment and cell motility domain 2, putative	1	1.72727
TcIL3000.A.H_000628700.1	hypothetical protein, conserved	1	1.71429
TcIL3000.A.H_000947300.1	conserved protein	1	1.71429
TcIL3000.A.H_000538500.1	hypothetical protein, conserved	1	1.7
TcIL3000.A.H_000848000.1	retrotransposon hot spot (RHS) protein, putative	1	1.7
TcIL3000.A.H_000015700.1	small nuclear RNA-activating protein	1	1.66667
TcIL3000.A.H_000101600.1	nucleobase/nucleoside transporter 8.1, putative	1	1.66667
TcIL3000.A.H_000206800.1	hypothetical protein, conserved	1	1.66667
TcIL3000.A.H_000333500.1	RNA polymerase-associated protein CTR9, putative	1	1.66667
TcIL3000.A.H_000455000.1	dolichyl pyrophosphate phosphatase, putative	1	1.66667
TcIL3000.A.H_000780600.1	C2 domain in Dock180 and Zizimin proteins, putative	1	1.66667
TcIL3000.A.H_000794200.1	hypothetical protein, conserved	1	1.64286
TcIL3000.A.H_001035100.1	Serine hydrolase (FSH1)/RWD domain/50S ribosome-binding GTPase/GTPase of unknown function C-terminal, putative	1	1.64286
TcIL3000.A.H_000322800.1	Tetratricopeptide repeat, putative	1	1.63636
TcIL3000.A.H_000660500.1	hypothetical protein, conserved	1	1.63158
TcIL3000.A.H_000674600.1	hypothetical protein, conserved	1	1.63158
TcIL3000.A.H_000321600.1	CHAP domain containing protein, putative	1	1.625
TcIL3000.A.H_000887400.1	diphthamide biosynthesis enzyme Dph1/Dph2 domain containing protein, putative	1	1.625
TcIL3000.A.H_000936100.1	ATP-grasp domain containing protein, putative	1	1.625
TcIL3000.A.H_000622300.1	hypothetical protein, conserved	1	1.61905
TcIL3000.A.H_000915300.1	hypothetical protein, conserved	1	1.61538
TcIL3000.A.H_001025600.1	Sybindin-like family, putative	1	1.61111
TcIL3000.A.H_000736300.1	hypothetical protein, conserved	1	1.60606
TcIL3000.A.H_000631900.1	hypothetical protein	1	1.6
TcIL3000.A.H_000695900.1	hypothetical protein, conserved	1	1.6
TcIL3000.A.H_000702300.1	ubiquitin-protein ligase, putative	1	1.58333
TcIL3000.A.H_000948500.1	hypothetical protein, conserved	1	1.58333
TcIL3000.A.H_000223100.1	MRB1-associated protein	1	1.55556
TcIL3000.A.H_000405200.1	alanine racemase, putative	1	1.55556
TcIL3000.A.H_000769000.1	hypothetical protein	1	1.54545
TcIL3000.A.H_000045100.1	DNA polymerase delta catalytic subunit, putative	1	1.53704
TcIL3000.A.H_000067300.1	retrotransposon hot spot (RHS) protein, putative	1	1.5
TcIL3000.A.H_000137700.1	hypothetical protein, conserved	1	1.5
TcIL3000.A.H_000154500.1	hypothetical protein, conserved	1	1.5
TcIL3000.A.H_000274600.1	anti-silencing protein ASF 1 like protein, putative	1	1.5
TcIL3000.A.H_000285600.1	hypothetical protein, conserved	1	1.5
TcIL3000.A.H_000445100.1	Reverse transcriptase (RNA-dependent DNA polymerase), putative	1	1.5
TcIL3000.A.H_000445200.1	hypothetical protein, conserved	1	1.5
TcIL3000.A.H_000460500.1	hypothetical protein, conserved	1	1.5
TcIL3000.A.H_000475700.1	hypothetical protein, conserved	1	1.5
TcIL3000.A.H_000512600.1	peptidyl-prolyl cis-trans isomerase, putative	1	1.5
TcIL3000.A.H_000535800.1	hypothetical protein, conserved	1	1.5
TcIL3000.A.H_000575900.1	NUDIX family hydrolase, putative	1	1.5
TcIL3000.A.H_000597000.1	Zinc finger, C3HC4 type (RING finger), putative	1	1.5
TcIL3000.A.H_000598800.1	pterin 4 alpha carbinolamine dehydratase, putative	1	1.5
TcIL3000.A.H_000613700.1	hypothetical protein, conserved	1	1.5
TcIL3000.A.H_000622900.1	CYC2-like cyclin, putative	1	1.5
TcIL3000.A.H_000828600.1	hypothetical protein, conserved	1	1.5
TcIL3000.A.H_000877500.1	Exocyst complex component Sec6, putative	1	1.5
TcIL3000.A.H_001000200.1	hypothetical protein, conserved	1	1.5
TcIL3000.A.H_000746800.1	aspartate aminotransferase	1	1.49383
TcIL3000.A.H_000435600.1	hypothetical protein, conserved	1	1.48276
TcIL3000.A.H_000679300.1	adenosine transporter 2, putative	1	1.47368
TcIL3000.A.H_000852800.1	Zinc finger CCCH domain-containing protein 40	1	1.47368
TcIL3000.A.H_000080400.1	retrotransposon hot spot (RHS) protein, putative	1	1.44444
TcIL3000.A.H_000962800:snoRNA	unspecified product	1	1.44444
TcIL3000.A.H_000192000.1	procyclin-associated gene 2-like protein, putative	1	1.42857
TcIL3000.A.H_000857700.1	SNARE protein, putative	1	1.42857
TcIL3000.A.H_000920200.1	hypothetical protein, conserved	1	1.42857
TcIL3000.A.H_000696700.1	ATP-dependent DEAD/H RNA helicase, putative	1	1.425
TcIL3000.A.H_000674400.1	hypothetical protein, conserved	1	1.41667
TcIL3000.A.H_000379500.1	bilobe protein, conserved	1	1.40909
TcIL3000.A.H_001016300.1	hypothetical protein, conserved	1	1.40741
TcIL3000.A.H_000369500.1	hypothetical protein, conserved	1	1.4
TcIL3000.A.H_000630300.1	hypothetical protein	1	1.4
TcIL3000.A.H_000781800.1	protein transport protein Sec24	1	1.4
TcIL3000.A.H_000714200.1	hypothetical protein, conserved	1	1.38462
TcIL3000.A.H_000783300.1	DNA-directed RNA polymerases II subunit, putative	1	1.38462
TcIL3000.A.H_000757400.1	TPR-repeat-containing chaperone protein DNAJ, putative	1	1.38095
TcIL3000.A.H_000750900.1	predicted zinc finger protein	1	1.375
TcIL3000.A.H_000719200.1	thymidine kinase, putative	1	1.35714
TcIL3000.A.H_000560000.1	histone H3, putative	1	1.35484
TcIL3000.A.H_000868600.1	hypothetical protein, conserved	1	1.35135
TcIL3000.A.H_000734800.1	Tetratricopeptide repeat, putative	1	1.34375
TcIL3000.A.H_000027700.1	variant surface glycoprotein (VSG, atypical), putative	1	1.33333
TcIL3000.A.H_000065300.1	Invariant surface glycoprotein, putative	1	1.33333
TcIL3000.A.H_000133100.1	hypothetical protein	1	1.33333
TcIL3000.A.H_000246500.1	histone H2A, putative	1	1.33333
TcIL3000.A.H_000773000.1	Protein of unknown function DUF72, putative	1	1.33333
TcIL3000.A.H_000942400.1	DIS3-like exonuclease, putative	1	1.33333
TcIL3000.A.H_000681000.1	hypothetical protein, conserved	1	1.32353
TcIL3000.A.H_000319300.1	Tim10/DDP family zinc finger, putative	1	1.30769
TcIL3000.A.H_000373200.1	Endonuclease/Exonuclease/phosphatase family, putative	1	1.30769
TcIL3000.A.H_000650000.1	EB1-like C-terminal motif containing protein, putative	1	1.30769
TcIL3000.A.H_000723300.1	Aminoacyl-tRNA editing domain containing protein, putative	1	1.3
TcIL3000.A.H_000849000.1	root hair defective 3 GTP-binding protein (RHD3), putative	1	1.3
TcIL3000.A.H_000827900.1	UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative	1	1.2963
TcIL3000.A.H_000348800.1	fumarate hydratase, class I	1	1.28571
TcIL3000.A.H_000890400.1	Domain of unknown function (DUF383), putative	1	1.28571
TcIL3000.A.H_000972100.1	RWD domain/Uncharacterized protein family UPF0029, putative	1	1.28571
TcIL3000.A.H_000729200.1	leucine-rich repeat protein (LRRP), putative	1	1.27273
TcIL3000.A.H_001012400.1	WLM domain containing protein, putative	1	1.27273
TcIL3000.A.H_000998500.1	hypothetical protein, conserved	1	1.26667
TcIL3000.A.H_000745200.1	RNA-binding protein, putative	1	1.26316
TcIL3000.A.H_000156300.1	hypothetical protein, conserved	1	1.25
TcIL3000.A.H_000165600.1	retrotransposon hot spot (RHS) protein, putative	1	1.25
TcIL3000.A.H_000185000.1	expression site-associated gene 2 (ESAG2) protein, putative	1	1.25
TcIL3000.A.H_000297400.1	cysteine peptidase, Clan CA, family C51, putative	1	1.25
TcIL3000.A.H_000414300.1	hypothetical protein, conserved	1	1.25
TcIL3000.A.H_000524500.1	glutathione synthetase, putative	1	1.25
TcIL3000.A.H_000642300.1	hypothetical protein, conserved	1	1.25
TcIL3000.A.H_000904200.1	hypothetical protein, conserved	1	1.2381
TcIL3000.A.H_000497400.1	F/Y rich C-terminus, putative	1	1.23077
TcIL3000.A.H_000870100.1	hypothetical protein, conserved	1	1.22727
TcIL3000.A.H_000647500.1	hypothetical protein	1	1.22222
TcIL3000.A.H_000655300.1	hypothetical protein, conserved	1	1.21053
TcIL3000.A.H_000301800.1	hypothetical protein, conserved	1	1.2
TcIL3000.A.H_000304200.1	TFIIF-stimulated CTD phosphatase, putative	1	1.2
TcIL3000.A.H_000470600.1	zinc-finger protein, conserved	1	1.2
TcIL3000.A.H_000518300.1	farnesyl pyrophosphate synthase	1	1.2
TcIL3000.A.H_000684800.1	HAD hydrolase, TIGR01456 family/HAD hydrolase, family IIA, putative	1	1.2
TcIL3000.A.H_000824900.1	glutamine aminotransferase (GlnAT)	1	1.2
TcIL3000.A.H_000596100.1	hypothetical protein, conserved	1	1.18605
TcIL3000.A.H_000583500.1	hypothetical protein, conserved	1	1.18182
TcIL3000.A.H_000819800.1	CYC2-like cyclin, putative	1	1.18182
TcIL3000.A.H_000980000.1	Putative serine esterase (DUF676), putative	1	1.18182
TcIL3000.A.H_000873300.1	radial spoke protein 3	1	1.17391
TcIL3000.A.H_000498700.1	Protein of unknown function (DUF525), putative	1	1.16667
TcIL3000.A.H_000522800.1	kinesin K39, putative	1	1.16667
TcIL3000.A.H_000764800.1	hypothetical protein	1	1.16667
TcIL3000.A.H_000881900.1	hypothetical protein, conserved	1	1.16667
TcIL3000.A.H_000927700.1	Optic atrophy 3 protein (OPA3), putative	1	1.16667
TcIL3000.A.H_000760800.1	pre-mRNA splicing factor ATP-dependent RNA helicase, putative	1	1.15909
TcIL3000.A.H_000286900.1	UEV domain/Zinc finger, C3HC4 type (RING finger), putative	1	1.14286
TcIL3000.A.H_000516200.1	Uncharacterized conserved protein (DUF2036), putative	1	1.14286
TcIL3000.A.H_001001200.1	hypothetical protein, conserved	1	1.13043
TcIL3000.A.H_000243900.1	hypothetical protein, conserved	1	1.125
TcIL3000.A.H_000639000.1	hypothetical protein, conserved	1	1.125
TcIL3000.A.H_000714900.1	hypothetical protein, conserved	1	1.125
TcIL3000.A.H_000755000.1	hypothetical protein, conserved	1	1.125
TcIL3000.A.H_000773900.1	G10 protein homologue, putative	1	1.125
TcIL3000.A.H_000932300.1	proteasome beta 3 subunit, putative	1	1.11538
TcIL3000.A.H_000699500.1	transporter, putative	1	1.11111
TcIL3000.A.H_000824800.1	hypothetical protein, conserved	1	1.11111
TcIL3000.A.H_000354000.1	FHA domain containing protein, putative	1	1.1
TcIL3000.A.H_001027000.1	TFIIH basal transcription factor subunit	1	1.1
TcIL3000.A.H_000624800.1	TFIIH basal transcription factor subunit	1	1.09375
TcIL3000.A.H_000421800.1	hypothetical protein, conserved	1	1.09091
TcIL3000.A.H_000517800.1	ATG12/APG12, putative	1	1.09091
TcIL3000.A.H_000706500.1	hypothetical protein, conserved	1	1.09091
TcIL3000.A.H_000697500.1	prenyl protein specific carboxyl methyltransferase	1	1.08333
TcIL3000.A.H_000336400.1	leucine-rich repeat-containing protein	1	1.07143
TcIL3000.A.H_000836100.1	actin-related protein 2/3 complex subunit 1, putative	1	1.07143
TcIL3000.A.H_000874700.1	hypothetical protein, conserved	1	1.07143
TcIL3000.A.H_000017400.1	Phytochelatin synthase, putative	1	1.05556
TcIL3000.A.H_000967900.1	kinetoplastid kinetochore protein 2	1	1.05556
TcIL3000.A.H_000513100.1	pyrroline-5-carboxylate reductase, putative	1	1.05
TcIL3000.A.H_000736100.1	DnaJ domain containing protein, putative	1	1.02564
TcIL3000.A.H_000493600.1	conserved protein	1	1.025
TcIL3000.A.H_000010100.1	expression site-associated gene (ESAG) protein, putative	1	1
TcIL3000.A.H_000036800.1	hypothetical protein, conserved	1	1
TcIL3000.A.H_000076100.1	Invariant surface glycoprotein, putative	1	1
TcIL3000.A.H_000088900.1	Trypanosomal VSG domain containing protein, putative	1	1
TcIL3000.A.H_000090000.1	hypothetical protein, conserved	1	1
TcIL3000.A.H_000105100.1	Adenylate and Guanylate cyclase catalytic domain containing protein, putative	1	1
TcIL3000.A.H_000121700.1	hypothetical protein	1	1
TcIL3000.A.H_000158500.1	Adenylate and Guanylate cyclase catalytic domain containing protein, putative	1	1
TcIL3000.A.H_000160400.1	variant surface glycoprotein (VSG, atypical), putative	1	1
TcIL3000.A.H_000345700.1	endosomal integral membrane protein, putative	1	1
TcIL3000.A.H_000384300.1	serine threonine-protein phosphatase PP1, putative	1	1
TcIL3000.A.H_000390500.1	hypothetical protein, conserved	1	1
TcIL3000.A.H_000397200.1	Endonuclease-reverse transcriptase, putative	1	1
TcIL3000.A.H_000400100.1	zinc finger CCCH domain containing protein 11	1	1
TcIL3000.A.H_000418100.1	cytidylyltransferase, putative	1	1
TcIL3000.A.H_000440900.1	conserved protein	1	1
TcIL3000.A.H_000489600.1	proline dehydrogenase	1	1
TcIL3000.A.H_000517500.1	WD domain, G-beta repeat, putative	1	1
TcIL3000.A.H_000539100.1	lipin, putative	1	1
TcIL3000.A.H_000544900.1	protein kinase, putative	1	1
TcIL3000.A.H_000553200.1	Vta1 like, putative	1	1
TcIL3000.A.H_000627100.1	DNA repair protein, putative	1	1
TcIL3000.A.H_000723600.1	Domain of unknown function (DUF4499), putative	1	1
TcIL3000.A.H_000733200.1	PD-(D/E)XK nuclease superfamily, putative	1	1
TcIL3000.A.H_000790600.1	hypothetical protein, conserved	1	1
TcIL3000.A.H_000851500.1	protein kinase, putative	1	1
TcIL3000.A.H_000875200.1	hypothetical protein, conserved	1	1
TcIL3000.A.H_000887900.1	ATP synthase regulation protein NCA2, putative	1	1
TcIL3000.A.H_000893300.1	Retrotransposon hot spot protein, putative	1	1
TcIL3000.A.H_000945100.1	glutathionylspermidine synthetase, putative	1	1
TcIL3000.A.H_000962700:snoRNA	unspecified product	1	1
TcIL3000.A.H_000994300.1	variant surface glycoprotein (VSG), putative	1	1
TcIL3000.A.H_001000800.1	hypothetical protein, conserved	1	1
TcIL3000.A.H_001022100.1	hypothetical protein, conserved	1	1
TcIL3000.A.H_001025700.1	hypothetical protein, conserved	1	1
TcIL3000.A.H_001034000.1	mitogen-activated protein kinase	1	1
TcIL3000.A.H_000464500.1	kinesin, putative	1	0.982759
TcIL3000.A.H_000408700.1	protein phosphatase 2C, putative	1	0.972222
TcIL3000.A.H_000649400.1	hypothetical protein, conserved	1	0.96
TcIL3000.A.H_000054200.1	Invariant surface glycoprotein, putative	1	0.958333
TcIL3000.A.H_000481400.1	hypothetical protein, conserved	1	0.956522
TcIL3000.A.H_000536900.1	Putative Phosphatase/Protein of unknown function DUF89, putative	1	0.95
TcIL3000.A.H_000418800.1	zinc-finger protein ZPR1, putative	1	0.944444
TcIL3000.A.H_000726800.1	dual specificity protein phosphatase, putative	1	0.933333
TcIL3000.A.H_001009700.1	atypical dual specificity phosphatase, putative	1	0.933333
TcIL3000.A.H_000691600.1	DNA repair protein RAD2, putative	1	0.92
TcIL3000.A.H_000517600.1	hypothetical protein, conserved	1	0.916667
TcIL3000.A.H_000537500.1	hypothetical protein, conserved	1	0.916667
TcIL3000.A.H_000431700.1	adenylate kinase, putative	1	0.909091
TcIL3000.A.H_000769100.1	phosphatidylinositolN-acetylglucosaminyltransferase, putative	1	0.909091
TcIL3000.A.H_000041000.1	Protein Associated with Differentiation, putative	1	0.9
TcIL3000.A.H_000636300.1	Adenylate and Guanylate cyclase catalytic domain containing protein, putative	1	0.9
TcIL3000.A.H_000657800.1	ubiquitin-activating enzyme E1, putative	1	0.9
TcIL3000.A.H_000906600.1	hypothetical protein, conserved	1	0.896552
TcIL3000.A.H_000258100.1	hypothetical protein, conserved	1	0.888889
TcIL3000.A.H_000594000.1	hypothetical protein, conserved	1	0.888889
TcIL3000.A.H_000719900.1	hypothetical protein, conserved	1	0.888889
TcIL3000.A.H_001001800.1	Kelch motif/Galactose oxidase, central domain containing protein, putative	1	0.888889
TcIL3000.A.H_000465900.1	hypothetical protein, conserved	1	0.884615
TcIL3000.A.H_000210500.1	hypothetical protein, conserved	1	0.875
TcIL3000.A.H_000646700.1	hypothetical protein, conserved	1	0.875
TcIL3000.A.H_000746900.1	hypothetical protein	1	0.875
TcIL3000.A.H_001032400.1	hypothetical protein, conserved	1	0.875
TcIL3000.A.H_000715500.1	choline dehydrogenase, putative	1	0.863636
TcIL3000.A.H_000309400.1	hypothetical protein, conserved	1	0.857143
TcIL3000.A.H_000477500.1	mitogen-activated protein kinase 5	1	0.857143
TcIL3000.A.H_000631500.1	UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative	1	0.857143
TcIL3000.A.H_000265700.1	META domain/Domain of unknown function (DUF1935), putative	1	0.85
TcIL3000.A.H_000513300.1	Dynamin family, putative	1	0.818182
TcIL3000.A.H_000806900.1	hypothetical protein, conserved	1	0.818182
TcIL3000.A.H_000165900.1	hypothetical protein, conserved	1	0.8
TcIL3000.A.H_000909200.1	hypothetical protein, conserved	1	0.8
TcIL3000.A.H_000839800.1	hypothetical protein, conserved	1	0.791667
TcIL3000.A.H_000666100.1	cysteine peptidase, Clan CA, family C2, putative	1	0.785714
TcIL3000.A.H_000216100.1	Protein Associated with Differentiation, putative	1	0.777778
TcIL3000.A.H_000358400.1	hypothetical protein, conserved	1	0.777778
TcIL3000.A.H_000551900.1	bilobe protein, conserved	1	0.773585
TcIL3000.A.H_000384600.1	CBF/Mak21 family, putative	1	0.772727
TcIL3000.A.H_000761900.1	hypothetical protein, conserved	1	0.769231
TcIL3000.A.H_000355100.1	PX domain containing protein, putative	1	0.763158
TcIL3000.A.H_000005800.1	retrotransposon hot spot (RHS) protein, putative	1	0.75
TcIL3000.A.H_000183200.1	hypothetical protein, conserved	1	0.75
TcIL3000.A.H_000341400.1	hypothetical protein	1	0.75
TcIL3000.A.H_000401200.1	rhodanese-like domain containing protein, putative	1	0.75
TcIL3000.A.H_000422000.1	Putative intraflagellar transport protein D4	1	0.75
TcIL3000.A.H_000544300.1	Protein of unknown function (DUF3522), putative	1	0.75
TcIL3000.A.H_000938200.1	endonuclease/exonuclease/phosphatase, putative	1	0.75
TcIL3000.A.H_000799400.1	pseudouridine synthase TruD, putative	1	0.73913
TcIL3000.A.H_000261800.1	Elongation factor Tu C-terminal domain containing protein, putative	1	0.727273
TcIL3000.A.H_000581800.1	Leucine Rich repeat, putative	1	0.72
TcIL3000.A.H_000185300.1	retrotransposon hot spot (RHS) protein, putative	1	0.714286
TcIL3000.A.H_000494900.1	hypothetical protein, conserved	1	0.709677
TcIL3000.A.H_000454100.1	hypothetical protein, conserved	1	0.689655
TcIL3000.A.H_000006800.1	hypothetical protein, conserved	1	0.666667
TcIL3000.A.H_000148000.1	Ankyrin repeats (3 copies), putative	1	0.666667
TcIL3000.A.H_000188700.1	Elongation factor Tu GTP binding domain containing protein, putative	1	0.666667
TcIL3000.A.H_000208100.1	hypothetical protein	1	0.666667
TcIL3000.A.H_000211500.1	hypothetical protein, conserved	1	0.666667
TcIL3000.A.H_000277600.1	Cell cycle checkpoint protein RAD1-like, putative	1	0.666667
TcIL3000.A.H_000625800.1	Glutathione S-transferase, C-terminal domain containing protein, putative	1	0.666667
TcIL3000.A.H_000627000.1	hypothetical protein, conserved	1	0.666667
TcIL3000.A.H_000966200:snoRNA	unspecified product	1	0.666667
TcIL3000.A.H_000360500.1	ankyrin, putative	1	0.65
TcIL3000.A.H_000745600.1	hypothetical protein, conserved	1	0.645161
TcIL3000.A.H_000734000.1	SLACS retrotransposable element (part), putative	1	0.625
TcIL3000.A.H_000554900.1	hypothetical protein, conserved	1	0.62069
TcIL3000.A.H_000073600.1	Invariant surface glycoprotein, putative	1	0.6
TcIL3000.A.H_000147000.1	hypothetical protein, conserved	1	0.6
TcIL3000.A.H_000410600.1	hypothetical protein, conserved	1	0.6
TcIL3000.A.H_000429100.1	hypothetical protein, conserved	1	0.6
TcIL3000.A.H_000779600.1	hypothetical protein	1	0.6
TcIL3000.A.H_000393800.1	SPRY domain containing protein, putative	1	0.590909
TcIL3000.A.H_000370100.1	Leucine Rich repeat, putative	1	0.571429
TcIL3000.A.H_000511600.1	zinc finger protein family member, putative	1	0.545455
TcIL3000.A.H_000878300.1	Emopamil binding protein, putative	1	0.533333
TcIL3000.A.H_000738100.1	hypothetical protein, conserved	1	0.526316
TcIL3000.A.H_000008500.1	variant surface glycoprotein (VSG, atypical), putative	1	0.5
TcIL3000.A.H_000136700.1	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase, putative	1	0.5
TcIL3000.A.H_000158400.1	Adenylate and Guanylate cyclase catalytic domain containing protein, putative	1	0.5
TcIL3000.A.H_000158800.1	Adenylate and Guanylate cyclase catalytic domain containing protein, putative	1	0.5
TcIL3000.A.H_000417800.1	hypothetical protein, conserved	1	0.5
TcIL3000.A.H_000430300.1	aspartate carbamoyltransferase, putative	1	0.5
TcIL3000.A.H_000441700.1	hypothetical protein, conserved	1	0.5
TcIL3000.A.H_000495300.1	RNA-binding protein, putative	1	0.5
TcIL3000.A.H_000675500.1	sphingomyelin/ceramide phosphorylethanolamine synthase, bifunctional	1	0.5
TcIL3000.A.H_000801900.1	hypothetical protein, conserved	1	0.5
TcIL3000.A.H_000885600.1	Tubulin cofactor C domain-containing protein 1	1	0.5
TcIL3000.A.H_000895700.1	hypothetical protein	1	0.5
TcIL3000.A.H_000464300.1	WD domain, G-beta repeat, putative	1	0.444444
TcIL3000.A.H_000581200.1	Domain of unknown function (DUF1767), putative	1	0.428571
TcIL3000.A.H_000088600.1	hypothetical protein, conserved	1	0.421053
TcIL3000.A.H_000282000.1	hypothetical protein, conserved	1	0.416667
TcIL3000.A.H_000181500.1	DNA replication complex GINS protein PSF3	1	0.333333
TcIL3000.A.H_000395200.1	Protein of unknown function DUF84, putative	1	0.333333
TcIL3000.A.H_000510100.1	protein kinase, putative	1	0.333333
TcIL3000.A.H_000641500.1	hypothetical protein, conserved	1	0.333333
TcIL3000.A.H_000399200.1	hypothetical protein	1	0.25
TcIL3000.A.H_000635700.1	CorA-like Mg2+ transporter protein, putative	1	0.25
TcIL3000.A.H_000030900.1	hypothetical protein, conserved	1	0.2
TcIL3000.A.H_000143500.1	microtubule-associated protein	1	0.2
TcIL3000.A.H_000951800.1	Octanoyltransferase, putative	1	0.111111
TcIL3000.A.H_000011900.1	hypothetical protein, conserved	1	0
TcIL3000.A.H_000024100.1	nucleobase/nucleoside transporter 8.1, putative	1	0
TcIL3000.A.H_000028400.1	Adenylate and Guanylate cyclase catalytic domain containing protein, putative	1	0
TcIL3000.A.H_000035600.1	hypothetical protein, conserved	1	0
TcIL3000.A.H_000043000.1	SLACS reverse transcriptase, putative	1	0
